UserName,Email,Password,Automation,RemoteAccess,ResouceAdmin,SuperUser,Admin,PowerUser
Test1,test1@test1.com,Test123#,o,x,o,o,x,o
Test2,test2@test2.com,Test123#,x,x,x,o,o,o
Test3,test1@test1.com,Test123#,x,x,o,x,x,o
Test4,test2@test2.com,Test123#,x,x,x,x,x,o
Test5,test1@test1.com,Test123#,x,o,o,o,o,x
Test6,test2@test2.com,Test123#,o,o,x,o,o,x
Test7,test1@test1.com,Test123#,o,o,x,x,x,x
Test8,test2@test2.com,Test123#,o,x,o,x,o,x
Test9,test1@test1.com,Test123#,o,x,x,x,x,o
Test10,test2@test2.com,Test123#,o,x,x,o,x,o
Test11,test1@test1.com,Test123#,x,o,o,o,o,o
Test12,test2@test2.com,Test123#,o,x,x,x,o,o
Test13,test1@test1.com,Test123#,x,x,x,x,x,x
Test14,test2@test2.com,Test123#,o,o,o,o,o,x
Test15,test1@test1.com,Test123#,o,o,x,o,x,x
Test16,test2@test2.com,Test123#,x,o,x,x,x,x
Test17,test1@test1.com,Test123#,o,x,o,x,o,o
Test18,test2@test2.com,Test123#,x,x,x,x,o,o
Test19,test1@test1.com,Test123#,x,x,x,o,x,o
Test20,test2@test2.com,Test123#,x,x,o,o,o,o
Test21,test1@test1.com,Test123#,x,x,x,x,x,x
Test22,test2@test2.com,Test123#,o,o,x,x,x,x
Test23,test1@test1.com,Test123#,o,o,o,o,o,x
Test24,test2@test2.com,Test123#,o,o,x,o,o,x
Test25,test1@test1.com,Test123#,o,x,x,x,x,o
Test26,test2@test2.com,Test123#,o,x,o,x,o,o
Test27,test1@test1.com,Test123#,x,x,x,x,x,o
Test28,test2@test2.com,Test123#,o,o,x,o,x,o
Test29,test1@test1.com,Test123#,x,x,o,o,o,x
Test30,test2@test2.com,Test123#,o,x,x,x,o,x
Test31,test1@test1.com,Test123#,o,o,x,x,x,x
Test32,test2@test2.com,Test123#,x,o,o,o,o,x
Test33,test1@test1.com,Test123#,o,o,x,o,x,o
Test34,test2@test2.com,Test123#,x,x,x,x,x,o
Test35,test1@test1.com,Test123#,x,x,o,x,o,o
Test36,test2@test2.com,Test123#,x,x,x,x,o,o
Test37,test1@test1.com,Test123#,x,x,x,o,x,x
Test38,test2@test2.com,Test123#,o,x,o,o,o,x
Test39,test1@test1.com,Test123#,o,o,x,x,x,x
Test40,test2@test2.com,Test123#,o,o,x,x,x,x
